AKP,CHP,MHP,HDP,SP
43.7,27.1,14.0,13.0,2.2
41.7,27.9,14.2,13.8,2.3
47.2,25.3,13.5,12.2,1.8
43.0,26.1,14.9,12.2,3.8
43.3,25.9,14.8,13.4,2.6
43.3,27.4,14.0,12.2,3.1
39.1,28.14,14.36,14.21,4.19
40.45,28.22,14.33,14.17,2.83
44.3,25.48,13.58,12.97,3.67
43.0,28.6,13.1,11.9,3.4
41.5,28.0,14.7,12.7,3.1
41.3,27.0,15.6,12.5,3.6
43.5,27.8,13.6,12.1,3.0
43.1,26.2,15.1,12.6,3.0
42.3,27.6,14.7,12.8,2.6
43.4,25.9,13.7,13.6,3.4
40.5,27.3,15.2,13.1,3.9
39.2,28.1,17.6,11.2,3.9
41.4,26.9,15.4,13.9,2.4
42.5,26.3,16.3,13.0,1.9