İl,Kaynak_URL,Tarih,Anket_Şirketi,Örneklem,AKP,CHP,İYİ,MHP,HDP,DEM,YRP,Kararsız
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,27-29 Mart,Özdemir,2.4,389.0,458.0,27.0,55.0,41.0,30,69,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,22-26 Mart,ALF,3.4,416.0,444.0,23.0,47.0,,7,28,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,411.0,425.0,,,,164,14,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,2.416,426.0,413.0,33.0,58.0,25.0,26,13,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-25 Mart,SAROS,2.918,438.0,402.0,61.0,52.0,,47,36,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-23 Mart,İVEM,1.945,431.0,409.0,49.0,47.0,28.0,40,22,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-21 Mart,Aksoy,2.4,395.0,488.0,14.0,39.0,25.0,21,93,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,17-20 Mart,ORC,7.14,416.0,385.0,39.0,62.0,27.0,49,35,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,15-18 Mart,Pollstar,4.7,382.0,450.0,57.0,60.0,,51,68,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-17 Mart,ASAL,1.4,395.0,412.0,3.0,53.0,35.0,52,17,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-15 Mart,ADA,1.5,433.0,406.0,32.0,53.0,39.0,37,27,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,11-14 Mart,Aksoy,1.067,388.0,452.0,26.0,41.0,34.0,38,64,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-14 Mart,ALF,9.7,384.0,371.0,36.0,65.0,19.0,71,13,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21 Şub-5 Mar,MAK,2.37,45.0,41.0,2.0,1.0,1.0,30,4,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-24 Şubat,Özdemir,2.363,358.0,475.0,29.0,58.0,47.0,11,117,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,26-29 Ocak,ORC,5.2,383.0,414.0,54.0,21.0,,25,31,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,,496.0,47.0,,,,34,26,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,8-13 Mart,ALF,1.43,,,89.0,,,22,17,39.0
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,68.546,,,,,,105,49,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,17-20 Mart,ORC,1.29,531.0,,,,,25,357,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,154.536,635.0,,,,,58,409,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,17-20 Mart,ORC,1.15,317.0,,,,,35,32,64.0
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,8-13 Mart,ALF,1.15,304.0,,,,,18,21,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,29.739,507.0,,,,,35,49,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,17-20 Mart,ORC,1.35,,,135.0,,,68,12,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,62.978,,,,,,34,116,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,17-20 Mart,ORC,1.62,,,47.0,,,42,118,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,267.881,,,,,,28,27,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,8-13 Mart,ALF,2.26,408.0,344.0,75.0,26.0,25.0,17,64,83.0
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,519.846,505.0,455.0,,,,4,5,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,8-13 Mart,ALF,1.29,,,,62.0,,15,182,85.0
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,34.687,,,,,,12,78,
