Bölüm,KaynakURL,Tarih Tarih,Anket şirketi Anket şirketi,Örneklem Örneklem,CHP Unnamed: 3_level_1,AKP Unnamed: 4_level_1,İYİ Unnamed: 5_level_1,DEM Unnamed: 6_level_1,ZP Unnamed: 7_level_1,YRP Unnamed: 8_level_1,Diğerleri Diğerleri,Fark Fark,MHP Unnamed: 3_level_1,İYİ Unnamed: 4_level_1,CHP Unnamed: 5_level_1,AKP Unnamed: 3_level_1,CHP Unnamed: 4_level_1,TİP Unnamed: 5_level_1,İYİ Unnamed: 6_level_1,DP Unnamed: 7_level_1,DEM Unnamed: 5_level_1
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,GENAR,?,437.0,457.0,37,2,17,18,14,2,,,,,,,,,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,25-26 Mart,ORC,2.720,445.0,39.0,73,59,—,—,33,55,,,,,,,,,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,?,433.0,417.0,—,—,—,—,15,16,,,,,,,,,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,4.358,44.0,423.0,37,49,27,15,8,17,,,,,,,,,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-24 Mart,ALF,3.200,385.0,407.0,91,65,—,—,52,22,,,,,,,,,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-22 Mart,Pollstar,3.000,376.0,443.0,71,57,—,—,53,67,,,,,,,,,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,13-18 Mart,ASAL,1.500,414.0,396.0,69,41,19,25,36,18,,,,,,,,,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-15 Mart,ADA,1.500,415.0,442.0,58,—,—,—,85,27,,,,,,,,,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21 Şub-4 Mar,MAK,1.910,34.0,41.0,7,7,2,15,25,7,,,,,,,,,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-2 Mart,Özdemir,8.444,405.0,423.0,41,51,29,27,24,18,,,,,,,,,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-20 Şubat,Optimar,2.500,466.0,451.0,29,15,07,25,7,15,,,,,,,,,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024.0,2024.0,2024,2024,2024,2024,2024,2024,,,,,,,,,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Eylül,ASAL,1.764,373.0,34.0,106,21,—,—,163,33,,,,,,,,,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2023,2023,2023,2023.0,2023.0,2023,2023,2023,2023,2023,2023,,,,,,,,,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,1.411.011,506.0,463.0,—,—,—,—,31,43,,,,,,,,,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,23-26 Mart,Pi-Ar,1.4,,,,,,,3.5,61,312.0,37.3,28,,,,,,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-23 Mart,ORC,1.5,,,,,,,46.0,79,302.0,381.0,271,,,,,,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,,,,,,,2024.0,2024,2024.0,2024.0,2024,,,,,,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,163.291,,,,,,,62.0,214,576.0,362.0,—,,,,,,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-23 Mart,ORC,850.0,392.0,42.0,69,35,,,84,28,,,,,,,,,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,2024.0,2024.0,2024,2024,,,2024,2024,,,,,,,,,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,38.36,487.0,485.0,—,—,,,28,2,,,,,,,,,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,26 Mart,Kırmızı Kare,11.516,,,,,,,—,13,,,,528.0,398.0,51,23,—,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,,,,,,,2024,2024,,,,2024.0,2024.0,2024,2024,2024,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,38.051,,,,,,,12,8,,,,429.0,349.0,—,—,210,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-23 Mart,ORC,1.65,,,,,,,58,37,,,,384.0,421.0,,65,,72
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,,,,,,,2024,2024,,,,2024.0,2024.0,,2024,,2024
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,297.906,,,,,,,5,58,,,,504.0,446.0,,—,,—
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-23 Mart,ORC,1.74,496.0,232.0,,,,,59,264,,,,,,109,104,,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,2024.0,2024.0,,,,,2024,2024,,,,,,2024,2024,,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,95.858,668.0,308.0,,,,,24,36,,,,,,—,—,,
