Bölüm,KaynakURL,Tarih Tarih,Anket şirketi Anket şirketi,Örneklem Örneklem,AKP Unnamed: 3_level_1,CHP Unnamed: 4_level_1,TİP Unnamed: 5_level_1,İYİ Unnamed: 6_level_1,DEM Unnamed: 7_level_1,YRP Unnamed: 8_level_1,ZP Unnamed: 9_level_1,Diğerleri Diğerleri,Kararsız Kararsız,Fark Fark,SP Unnamed: 4_level_1,CHP Unnamed: 5_level_1,ZP Unnamed: 6_level_1,YRP Unnamed: 5_level_1,CHP Unnamed: 3_level_1,AKP Unnamed: 4_level_1,MHP Unnamed: 3_level_1,İYİ Unnamed: 4_level_1,BBP Unnamed: 6_level_1,DSP Unnamed: 4_level_1,AKP Unnamed: 5_level_1,TKP Unnamed: 6_level_1,TİP Unnamed: 7_level_1,SOL Unnamed: 8_level_1,BBP Unnamed: 4_level_1,İYİ Unnamed: 5_level_1,DP Unnamed: 5_level_1,DEM Unnamed: 8_level_1,CHP Unnamed: 6_level_1,ZP Unnamed: 7_level_1,BBP Unnamed: 5_level_1,SP Unnamed: 5_level_1,TİP Unnamed: 4_level_1,DSP Unnamed: 6_level_1,YRP Unnamed: 4_level_1
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,24-27 Mart,AREA,2.010,45,46,21,2,14,12,1,13,—,1,,,,,,,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,?,413,437,—,—,—,—,—,15,—,24,,,,,,,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,2.445,430,398,—,46,22,39,—,65,—,32,,,,,,,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,GENAR,?,508,37,32,39,14,16,11,1,—,138,,,,,,,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,8-21 Mart,Optimar,15.000,489,39,51,—,—,17,—,52,—,99,,,,,,,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,17 Mart 2024,17 Mart 2024,17 Mart 2024,"TİP, Gökhan Zan'ın adaylığını geri çektiğini açıkladı.[1]","TİP, Gökhan Zan'ın adaylığını geri çektiğini açıkladı.[1]","TİP, Gökhan Zan'ın adaylığını geri çektiğini açıkladı.[1]","TİP, Gökhan Zan'ın adaylığını geri çektiğini açıkladı.[1]","TİP, Gökhan Zan'ın adaylığını geri çektiğini açıkladı.[1]","TİP, Gökhan Zan'ın adaylığını geri çektiğini açıkladı.[1]","TİP, Gökhan Zan'ın adaylığını geri çektiğini açıkladı.[1]","TİP, Gökhan Zan'ın adaylığını geri çektiğini açıkladı.[1]","TİP, Gökhan Zan'ın adaylığını geri çektiğini açıkladı.[1]","TİP, Gökhan Zan'ın adaylığını geri çektiğini açıkladı.[1]",,,,,,,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,6-12 Mart,ASAL,1.250,422,35.3,78,51,23,32,23,25,—,69,,,,,,,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-5 Mart,ADA,1.500,484,321,74,49,22,25,18,16,—,163,,,,,,,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21 Şub-5 Mar,MAK,1.070,39,34,12,3,2,2,1,60,1,5,,,,,,,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2-5 Mart,Ser-Ar,2.100,488,324,64,55,—,—,—,69,—,164,,,,,,,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,10-17 Şubat,AREA,7.000,312,355,—,—,—,—,—,93,24,43,,,,,,,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,11-13 Şubat,ORC,1.970,419,251,82,45,26,21,22,18,116,168,,,,,,,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,,,,,,,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,888.857,428,551,—,—,—,—,—,21,—,123,,,,,,,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,?,614,,,,,,,24,,359,49.0,255,58,,,,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024,,,,,,,2024,,2024,2024.0,2024,2024,,,,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,30.919,631,,,,,,,9,,271,36.0,—,—,,,,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,?,625,279,,24,,,,4,,346,,,,32,,,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024,2024,,2024,,,,2024,,2024,,,,2024,,,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,200.280,552,425,,—,,,,23,,127,,,,—,,,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,?,,,93,47,,,,27,,373,,,,,603.0,23.0,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,,,2024,2024,,,,2024,,2024,,,,,2024.0,2024.0,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,52.448,,,—,—,,,,26,,464,,,,,719.0,255.0,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,?,,,,,,,,45,,487,,204,,,,,691.0,33,27,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,,,,,,,,2024,,2024,,2024,,,,,2024.0,2024,2024,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,20.313,,,,,,,,18,,238,,—,,,,,61.0,372,—,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,?,,,,,,,,24,,47,,,,,338.0,,,,,—,159.0,291.0,114,74,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,,,,,,,,2024,,2024,,,,,2024.0,,,,,2024,2024.0,2024.0,2024,2024,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,87.862,,,,,,,,18,,443,,,,,686.0,,,,,243,62.0,3.0,—,—,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,?,488,,,,,,,93,,258,,,,,,,,,,,,,,,23.0,189.0,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024,,,,,,,2024,,2024,,,,,,,,,,,,,,,2024.0,2024.0,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,32.034,55,,,,,,,1,,119,,,,,,,,,,,,,,,9.0,431.0,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,?,534,314,,82,,,,—,,220,,,,,,,,,,,,,—,,,,—,21,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,7-8 Mart,Betimar,1.573,503,314,,72,,,,77,,189,,,,,,,,,,,,,3,,,,—,24,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024,2024,,2024,,,,2024,,2024,,,,,,,,,,,,,2024,,,,2024,2024,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,142.557,403,366,,—,,,,18,,37,,,,,,,,,,,,,—,,,,213,—,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,?,571,,,,,,,—,,235,,,,336,,,,—,,,,,,,,,,,53,34,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024,,,,,,,2024,,2024,,,,2024,,,,2024,,,,,,,,,,,2024,2024,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,63.000,588,,,,,,,35,,202,,,,—,,,,386,,,,,,,,,,,—,—,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,?,,144,,,,,,—,,130,,,,,,,342.0,,,,,,,,,,,,,,452.0,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,,2024,,,,,,2024,,2024,,,,,,,2024.0,,,,,,,,,,,,,,2024.0,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,7.821,,371,,,,,,06,,236,,,,,,,607.0,,,,,,,,,,,,,,15.0,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,?,566,80,,,,,,—,,244,,,,,,,,,,,,,,,,,,,,,,320.0,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024,2024,,,,,,2024,,2024,,,,,,,,,,,,,,,,,,,,,,2024.0,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,24.587,429,400,,,,,,04,,29,,,,,,,,,,,,,,,,,,,,,,166.0,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,?,544,312,,,,,,—,,232,,,,110,,,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024,2024,,,,,,2024,,2024,,,,2024,,,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,45.138,591,374,,,,,,35,,217,,,,—,,,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,?,,,,,,,,—,,104,,,,,413.0,,,,,,50.0,,,,,,,,,,,,517,—,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,,,,,,,,2024,,2024,,,,,2024.0,,,,,,2024.0,,,,,,,,,,,,2024,2024,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,65.502,,,,,,,,27,,145,,,,,632.0,,,,,,70.0,,,,,,,,,,,,—,263,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,?,67,,,,,,,2,,371,,29,,,,,,,—,,,,,,,,,,,,,,,,299
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024,,,,,,,2024,,2024,,2024,,,,,,,2024,,,,,,,,,,,,,,,,2024
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,19.363,556,,,,,,,29,,141,,—,,,,,,,415,,,,,,,,,,,,,,,,—
